epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,4.05778,0.90995,0.77586,1,0.56662,0.00046412,0.00046412,0.00046412
1,4.01859,0.90995,0.77586,1,0.56662,0.00046412,0.00046412,0.00046412
1,3.8551,0.90995,0.77586,1,0.56662,0.00046412,0.00046412,0.00046412
1,4.10823,0.90995,0.77586,1,0.56662,0.00046412,0.00046412,0.00046412
1,2.4076,1.16306,0.68966,1,0.90698,0.00012861,0.00012861,0.00012861
2,3.32647,0.64028,0.77586,1,0.5686,0.000268822,0.000268822,0.000268822
3,4.22476,0.39405,0.77586,1,0.49976,0.000406205,0.000406205,0.000406205
4,5.03834,0.33384,0.77586,1,0.39978,0.000540758,0.000540758,0.000540758
5,5.89384,0.2805,0.87931,1,0.34131,0.000672482,0.000672482,0.000672482
6,6.75156,0.16873,0.89655,1,0.32104,0.000801376,0.000801376,0.000801376
7,7.40418,0.11639,0.87931,1,0.31165,0.000927441,0.000927441,0.000927441
8,8.04534,0.08086,0.89655,1,0.22955,0.00105068,0.00105068,0.00105068
9,8.83187,0.06385,0.84483,1,0.31641,0.00117108,0.00117108,0.00117108
10,9.53874,0.09873,0.82759,1,0.37744,0.00128866,0.00128866,0.00128866
11,10.2661,0.05583,0.87931,1,0.24805,0.00128753,0.00128753,0.00128753
12,10.8896,0.07587,0.96552,1,0.12131,0.00127338,0.00127338,0.00127338
13,11.6522,0.08194,0.96552,1,0.07916,0.00125923,0.00125923,0.00125923
14,12.639,0.04747,0.98276,1,0.06279,0.00124509,0.00124509,0.00124509
15,13.3445,0.07969,0.96552,1,0.0795,0.00123094,0.00123094,0.00123094
16,14.0508,0.0675,0.98276,1,0.09782,0.00121679,0.00121679,0.00121679
17,14.6661,0.04445,0.96552,1,0.09595,0.00120265,0.00120265,0.00120265
18,15.3998,0.02434,0.94828,1,0.11359,0.0011885,0.0011885,0.0011885
19,16.1687,0.0474,0.94828,1,0.10303,0.00117435,0.00117435,0.00117435
20,17.0416,0.01021,0.94828,1,0.10812,0.00116021,0.00116021,0.00116021
21,17.6401,0.03916,0.94828,1,0.11743,0.00114606,0.00114606,0.00114606
22,18.4812,0.02311,0.96552,1,0.11407,0.00113191,0.00113191,0.00113191
23,19.3347,0.0219,0.96552,1,0.10892,0.00111776,0.00111776,0.00111776
24,20.0048,0.02431,0.93103,1,0.22693,0.00110362,0.00110362,0.00110362
25,20.7512,0.02153,0.93103,1,0.19873,0.00108947,0.00108947,0.00108947
26,21.4387,0.02842,0.94828,1,0.20792,0.00107532,0.00107532,0.00107532
27,22.1747,0.09742,0.91379,1,0.21863,0.00106118,0.00106118,0.00106118
28,22.9437,0.0287,0.87931,1,0.37878,0.00104703,0.00104703,0.00104703
29,23.6033,0.03423,0.89655,1,0.28754,0.00103288,0.00103288,0.00103288
30,24.3557,0.02026,0.98276,1,0.12671,0.00101873,0.00101873,0.00101873
31,25.0409,0.02099,0.98276,1,0.10181,0.00100459,0.00100459,0.00100459
32,25.7918,0.02028,0.98276,1,0.0923,0.00099044,0.00099044,0.00099044
33,26.5419,0.01569,0.96552,1,0.12006,0.000976293,0.000976293,0.000976293
34,27.4164,0.04621,0.96552,1,0.09763,0.000962146,0.000962146,0.000962146
35,28.1237,0.03613,0.94828,1,0.12817,0.000947999,0.000947999,0.000947999
36,28.9667,0.01043,0.94828,1,0.14273,0.000933851,0.000933851,0.000933851
37,29.6588,0.01187,0.94828,1,0.14813,0.000919704,0.000919704,0.000919704
38,30.5356,0.01081,0.94828,1,0.16968,0.000905557,0.000905557,0.000905557
39,31.2634,0.01436,0.94828,1,0.17621,0.00089141,0.00089141,0.00089141
40,31.8961,0.00755,0.94828,1,0.20154,0.000877263,0.000877263,0.000877263
41,32.6612,0.00494,0.94828,1,0.19238,0.000863116,0.000863116,0.000863116
42,33.466,0.00906,0.93103,1,0.17595,0.000848969,0.000848969,0.000848969
43,34.1413,0.01152,0.93103,1,0.1604,0.000834822,0.000834822,0.000834822
44,34.9081,0.02065,0.94828,1,0.07807,0.000820675,0.000820675,0.000820675
45,35.6231,0.00625,0.98276,1,0.04241,0.000806528,0.000806528,0.000806528
46,36.3878,0.01398,0.98276,1,0.0387,0.00079238,0.00079238,0.00079238
47,37.2539,0.012,0.98276,1,0.04453,0.000778233,0.000778233,0.000778233
48,37.924,0.01014,0.94828,1,0.08388,0.000764086,0.000764086,0.000764086
49,38.6215,0.03486,0.94828,1,0.10211,0.000749939,0.000749939,0.000749939
50,39.5382,0.0042,0.87931,1,0.21686,0.000735792,0.000735792,0.000735792
51,40.4278,0.00752,0.89655,1,0.20062,0.000721645,0.000721645,0.000721645
52,41.0941,0.02506,0.96552,1,0.11191,0.000707498,0.000707498,0.000707498
