epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,13.1372,2.43578,5.00101,1.8963,0.00043,0.01094,0.00035,0.00015,2.03918,4.4668,1.69169,7.854e-05,7.854e-05,7.854e-05
1,14.7674,2.42512,4.88884,1.8648,0.00011,0.02917,8e-05,2e-05,2.01124,4.39997,1.62587,7.854e-05,7.854e-05,7.854e-05
2,18.776,2.14716,4.61965,1.55895,0.00049,0.05074,0.00056,0.00022,1.84996,4.2556,1.41822,0.000162594,0.000162594,0.000162594
3,32.8203,1.98271,4.22884,1.40367,0.00525,0.2472,0.00696,0.00283,1.70651,4.18106,1.34053,0.000244952,0.000244952,0.000244952
4,25.2442,1.95923,3.75309,1.39055,0.00645,0.37783,0.05152,0.02742,1.74061,4.0752,1.41929,0.000325613,0.000325613,0.000325613
5,28.5584,1.98423,3.32152,1.38331,0.0073,0.43992,0.13259,0.06758,1.85409,3.6448,1.39866,0.000404578,0.000404578,0.000404578
6,31.5063,1.97388,3.0103,1.36109,0.95392,0.04905,0.19265,0.08728,1.78707,3.23636,1.31838,0.000481846,0.000481846,0.000481846
7,34.483,1.86462,2.77143,1.32072,0.82479,0.05812,0.2132,0.10417,1.89556,3.12951,1.4023,0.000557418,0.000557418,0.000557418
8,38.0226,1.81483,2.56912,1.35049,0.74287,0.14948,0.20932,0.10501,1.73865,2.88827,1.30615,0.000631294,0.000631294,0.000631294
9,41.2459,1.79135,2.4219,1.30552,0.75869,0.1906,0.24576,0.11904,1.73963,2.72699,1.34915,0.000657451,0.000657451,0.000657451
10,44.5255,1.71809,2.28847,1.2874,0.75971,0.26593,0.30177,0.15261,1.78885,2.41873,1.39229,0.000650383,0.000650383,0.000650383
11,47.4664,1.70334,2.185,1.28754,0.76667,0.26954,0.31729,0.15537,1.80859,2.33533,1.43393,0.000643314,0.000643314,0.000643314
12,50.5467,1.7086,2.17856,1.28654,0.77933,0.23378,0.32479,0.15747,1.76364,2.30021,1.39296,0.000636245,0.000636245,0.000636245
13,53.8198,1.67863,2.11009,1.28692,0.79614,0.27253,0.31997,0.16225,1.69972,2.08822,1.36857,0.000629177,0.000629177,0.000629177
14,67.7731,1.62441,1.94092,1.26554,0.69142,0.23823,0.28971,0.14736,1.69798,1.85949,1.38445,0.000622108,0.000622108,0.000622108
