epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,7.23927,0,29.8034,0,0,0,0,0,0,19.084,0,0.000541419,0.000541419,0.000541419
1,6.22695,0,29.8034,0,0,0,0,0,0,19.084,0,0.000541419,0.000541419,0.000541419
1,3.56783,2.80975,5.07022,2.28273,0.00079,0.14583,0.00058,0.00025,2.66386,4.30129,2.58742,0.0001,0.0001,0.0001
1,7.0766,2.80975,5.07022,2.28273,0.00079,0.14583,0.00058,0.00025,2.66386,4.30129,2.58742,0.0001,0.0001,0.0001
1,0.754805,3.02733,5.06403,2.31933,0.00043,0.0625,0.00252,0.00025,2.71321,4.33612,2.6472,2.5e-05,2.5e-05,2.5e-05
2,1.39934,2.84743,5.07106,2.26589,0,0,0,0,2.67414,4.34143,2.60194,6.18813e-05,6.18813e-05,6.18813e-05
3,2.09969,2.73461,4.94488,2.27923,0.00054,0.0625,0.00038,4e-05,2.62225,4.33141,2.4841,9.802e-05,9.802e-05,9.802e-05
4,2.72792,2.68418,4.71142,2.01808,0.00122,0.14583,0.01606,0.01105,2.65396,4.18753,2.20538,0.000133416,0.000133416,0.000133416
5,3.41065,2.24233,4.40227,1.66726,0.00353,0.35417,0.08456,0.03652,2.41286,4.03023,1.88252,0.00016807,0.00016807,0.00016807
6,4.13958,1.98739,4.14071,1.47016,0.00476,0.625,0.16373,0.06343,2.29411,3.86437,1.73425,0.000201981,0.000201981,0.000201981
7,4.75811,1.89443,3.96645,1.34125,0.00477,0.70833,0.40143,0.20586,2.13823,3.72195,1.56593,0.00023515,0.00023515,0.00023515
8,5.45633,1.86526,3.51121,1.39108,0.00456,0.70833,0.37409,0.1889,2.12753,3.68702,1.55711,0.000267576,0.000267576,0.000267576
9,6.14951,2.02939,3.70283,1.54498,0.00378,0.64583,0.29812,0.1595,2.01422,3.73416,1.60184,0.00029926,0.00029926,0.00029926
10,6.71457,1.80041,3.12791,1.39384,0.00384,0.64583,0.30581,0.14319,1.90063,3.71896,1.53291,0.000330201,0.000330201,0.000330201
11,7.36219,1.64471,2.76922,1.23672,0.004,0.64583,0.33108,0.17058,1.97815,3.72783,1.64825,0.0003604,0.0003604,0.0003604
12,7.91977,1.65893,2.84971,1.2156,0.00422,0.64583,0.34317,0.15287,1.9146,3.75665,1.57534,0.000389856,0.000389856,0.000389856
13,8.53094,1.58769,2.8333,1.218,0.0031,0.5,0.28838,0.14728,1.84261,3.90023,1.63997,0.00041857,0.00041857,0.00041857
14,9.13062,1.62912,2.58143,1.24408,0.00187,0.35417,0.23323,0.11952,1.84032,3.94241,1.72268,0.000446541,0.000446541,0.000446541
15,9.72473,1.51949,2.79487,1.28564,0.00089,0.20833,0.11496,0.07145,1.93989,4.11923,1.94317,0.00047377,0.00047377,0.00047377
16,10.297,1.69284,2.59981,1.29622,0.00095,0.20833,0.11498,0.06301,1.96715,4.13547,1.93474,0.000500256,0.000500256,0.000500256
17,10.9345,1.69153,2.87865,1.35012,0.00197,0.33333,0.2086,0.08785,1.9846,4.06134,1.80663,0.000526,0.000526,0.000526
18,11.6001,1.48397,2.60669,1.21782,0.00271,0.47917,0.21353,0.07553,2.06296,3.88399,1.75134,0.000551001,0.000551001,0.000551001
19,12.1626,1.42415,2.45177,1.12277,0.00333,0.625,0.29847,0.12512,1.97814,3.68871,1.71285,0.00057526,0.00057526,0.00057526
